"","gene","symbol","name","locus_group","ensembl_id","gene_type","genomic_position_ucsc_link","p53_expression_score_55_to_57","p53_median_log2fc","p53_bound_tss","p53_bound_enhancer","rfx7_target","cell_cycle_expression_score_0_to_9","cell_cycle_gene_category","dream_target","mmb_foxm1_target","rb_e2f_target","d_np63_expression_score_12_to_14","d_np63_target","potential_d_np63_target","uni_prot_kb_id","p53_expression_score_protein_5_to_5","p53_median_log2fc_protein","mouse_ensembl_id","mouse_genomic_position","mouse_gene_name","mouse_p53_expression_score_13_to_15","mouse_p53_target","locus_type","entrez_id"
"557","CPSF4","CPSF4","cleavage and polyadenylation specific factor 4","protein-coding gene","ENSG00000160917","protein_coding","chr7:99438922-99457373","15","0.11","yes","no","no","1","-","no","no","no","4","no","yes","O95639","-1","-0.12","ENSMUSG00000029625","chr5:145167213-145182041","Cpsf4","0","no","gene with protein product","10898"
"558","MCOLN1","MCOLN1","mucolipin TRP cation channel 1","protein-coding gene","ENSG00000090674","protein_coding","chr19:7522624-7534009","15","0.09","yes","yes","no","1","-","no","no","no","-4","no","no","-","-","-","ENSMUSG00000004567","chr8:3500457-3515232","Mcoln1","1","no","gene with protein product","57192"
"559","URB1","URB1","URB1 ribosome biogenesis factor","protein-coding gene","ENSG00000142207","protein_coding","chr21:32311018-32393012","15","0.09","no","yes","no","3","G2/M","no","no","no","4","no","yes","O60287","-1","-0.14","ENSMUSG00000039929","chr16:90751527-90810413","Urb1","-2","no","gene with protein product","9875"
"560","VMP1","VMP1","vacuole membrane protein 1","protein-coding gene","ENSG00000062716","protein_coding","chr17:59707192-59842255","15","0.04","yes","yes","no","3","G2/M","no","no","no","-3","no","no","Q96GC9","1","0.13","ENSMUSG00000018171","chr11:86583865-86683836","Vmp1","-1","no","gene with protein product","81671"
"561","MYBPHL","MYBPHL","myosin binding protein H like","protein-coding gene","ENSG00000221986","protein_coding","chr1:109292365-109307011","14","1.74","yes","yes","no","1","-","no","no","no","2","no","no","-","-","-","ENSMUSG00000068745","chr3:108364911-108380057","Mybphl","2","no","gene with protein product","343263"
"562","ZNF750","ZNF750","zinc finger protein 750","protein-coding gene","ENSG00000141579","protein_coding","chr17:82829434-82840022","14","1.2","no","yes","no","0","-","no","no","no","4","no","yes","-","-","-","ENSMUSG00000039238","chr11:121510978-121519333","Zfp750","10","yes","gene with protein product","79755"
"563","LRP2BP","LRP2BP","LRP2 binding protein","protein-coding gene","ENSG00000109771","protein_coding","chr4:185363879-185395899","14","0.4","yes","no","no","2","-","no","no","no","0","no","no","-","-","-","ENSMUSG00000031637","chr8:45999303-46029477","Lrp2bp","-1","no","gene with protein product","55805"
"564","BBS1","BBS1","Bardet-Biedl syndrome 1","protein-coding gene","ENSG00000174483","protein_coding","chr11:66510606-66533613","14","0.39","yes","no","no","2","-","no","no","no","2","no","no","-","-","-","-","-","-","-","-","gene with protein product","582"
"565","SNRPN","SNRPN","small nuclear ribonucleoprotein polypeptide N","protein-coding gene","ENSG00000128739","protein_coding","chr15:24823637-24978723","14","0.36","yes","yes","no","1","-","no","no","no","-6","no","no","P63162","-1","-0.26","-","-","-","-","-","gene with protein product","6638"
"566","FRMD4A","FRMD4A","FERM domain containing 4A","protein-coding gene","ENSG00000151474","protein_coding","chr10:13643706-14462142","14","0.36","no","yes","no","1","-","no","no","no","2","no","no","Q9P2Q2","0","0.18","ENSMUSG00000026657","chr2:4017717-4614043","Frmd4a","-4","no","gene with protein product","55691"
"567","NR4A2","NR4A2","nuclear receptor subfamily 4 group A member 2","protein-coding gene","ENSG00000153234","protein_coding","chr2:156324437-156342348","14","0.35","yes","no","no","2","-","no","no","no","-4","no","no","-","-","-","ENSMUSG00000026826","chr2:57106830-57124003","Nr4a2","4","no","gene with protein product","4929"
"568","CITED4","CITED4","Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 4","protein-coding gene","ENSG00000179862","protein_coding","chr1:40861054-40862363","14","0.35","no","yes","no","1","-","no","no","no","1","no","no","-","-","-","ENSMUSG00000070803","chr4:120666572-120667820","Cited4","8","no","gene with protein product","163732"
"569","TMEM92","TMEM92","transmembrane protein 92","protein-coding gene","ENSG00000167105","protein_coding","chr17:50271406-50281485","14","0.33","no","yes","no","1","-","no","no","no","1","no","no","-","-","-","ENSMUSG00000075610","chr11:94777217-94782703","Tmem92","3","no","gene with protein product","162461"
"570","TBC1D10A","TBC1D10A","TBC1 domain family member 10A","protein-coding gene","ENSG00000099992","protein_coding","chr22:30291990-30326947","14","0.31","no","yes","no","0","-","no","no","no","-1","no","no","Q9BXI6","1","0.16","ENSMUSG00000034412","chr11:4186789-4215505","Tbc1d10a","1","no","gene with protein product","83874"
"571","EXD3","EXD3","exonuclease 3'-5' domain containing 3","protein-coding gene","ENSG00000187609","protein_coding","chr9:137306896-137423211","14","0.3","yes","yes","no","1","-","no","no","no","-3","no","yes","-","-","-","-","-","-","-","-","gene with protein product","54932"
"572","PHLDA1","PHLDA1","pleckstrin homology like domain family A member 1","protein-coding gene","ENSG00000139289","protein_coding","chr12:76025447-76033932","14","0.26","no","yes","no","4","UNCLEAR","no","no","no","9","no","no","Q8WV24","1","0.16","ENSMUSG00000020205","chr10:111506286-111508645","Phlda1","9","yes","gene with protein product","22822"
"573","MRI1","MRI1","methylthioribose-1-phosphate isomerase 1","protein-coding gene","ENSG00000037757","protein_coding","chr19:13764522-13774282","14","0.23","yes","yes","no","2","-","no","no","no","1","no","no","Q9BV20","1","0.23","ENSMUSG00000004996","chr8:84249906-84257326","Mri1","8","yes","gene with protein product","84245"
"574","GSK3B","GSK3B","glycogen synthase kinase 3 beta","protein-coding gene","ENSG00000082701","protein_coding","chr3:119821321-120094994","14","0.23","yes","no","no","1","-","no","no","no","2","no","no","P49841","2","0.20","ENSMUSG00000022812","chr16:38089001-38246084","Gsk3b","0","no","gene with protein product","2932"
"575","STN1","STN1","STN1 subunit of CST complex","protein-coding gene","ENSG00000107960","protein_coding","chr10:103877569-103918184","14","0.23","yes","yes","no","2","-","no","no","no","-2","no","no","-","-","-","ENSMUSG00000042694","chr19:47501033-47537507","Obfc1","0","no","gene with protein product","79991"
"576","PEX1","PEX1","peroxisomal biogenesis factor 1","protein-coding gene","ENSG00000127980","protein_coding","chr7:92487020-92528520","14","0.23","no","yes","no","1","-","no","no","no","-1","no","no","O43933","0","0.03","ENSMUSG00000005907","chr5:3596066-3637232","Pex1","-1","no","gene with protein product","5189"
"577","PXDN","PXDN","peroxidasin","protein-coding gene","ENSG00000130508","protein_coding","chr2:1631887-1744852","14","0.22","no","yes","no","1","-","no","no","no","-9","no","yes","Q92626","2","0.27","ENSMUSG00000020674","chr12:29937608-30017658","Pxdn","-3","no","gene with protein product","7837"
"578","NDST1","NDST1","N-deacetylase and N-sulfotransferase 1","protein-coding gene","ENSG00000070614","protein_coding","chr5:150485818-150558211","14","0.21","no","yes","no","1","-","no","no","no","9","yes","yes","-","-","-","ENSMUSG00000054008","chr18:60684494-60748650","Ndst1","-1","no","gene with protein product","3340"
"579","TMEM87B","TMEM87B","transmembrane protein 87B","protein-coding gene","ENSG00000153214","protein_coding","chr2:112055269-112119318","14","0.21","no","yes","no","2","-","no","no","no","-4","no","yes","Q96K49","0","-0.04","ENSMUSG00000014353","chr2:128818118-128854261","Tmem87b","0","no","gene with protein product","84910"
"580","ERAP1","ERAP1","endoplasmic reticulum aminopeptidase 1","protein-coding gene","ENSG00000164307","protein_coding","chr5:96760810-96808100","14","0.21","yes","no","no","3","G2/M","no","no","no","-4","no","yes","Q9NZ08","1","0.13","ENSMUSG00000021583","chr13:74639568-74693201","Erap1","-4","no","gene with protein product","51752"
"581","CPQ","CPQ","carboxypeptidase Q","protein-coding gene","ENSG00000104324","protein_coding","chr8:96645242-97149654","14","0.2","yes","no","no","1","-","no","no","no","-8","no","yes","Q9Y646","0","-0.78","ENSMUSG00000039007","chr15:33083129-33594552","Cpq","-1","no","gene with protein product","10404"
"582","COQ4","COQ4","coenzyme Q4","protein-coding gene","ENSG00000167113","protein_coding","chr9:128322544-128334072","14","0.2","yes","yes","no","1","-","no","no","no","-6","no","yes","-","-","-","ENSMUSG00000026798","chr2:29787493-29797935","Coq4","1","no","gene with protein product","51117"
"583","CMIP","CMIP","c-Maf inducing protein","protein-coding gene","ENSG00000153815","protein_coding","chr16:81445170-81711762","14","0.19","no","yes","no","2","-","no","no","no","6","no","yes","-","-","-","ENSMUSG00000034390","chr8:117257064-117459430","Cmip","3","no","gene with protein product","80790"
"584","PACS2","PACS2","phosphofurin acidic cluster sorting protein 2","protein-coding gene","ENSG00000179364","protein_coding","chr14:105300563-105398147","14","0.19","yes","no","no","1","-","no","no","no","-5","no","no","Q86VP3","0","0.03","ENSMUSG00000021143","chr12:113014508-113074401","Pacs2","0","no","gene with protein product","23241"
"585","CLK1","CLK1","CDC like kinase 1","protein-coding gene","ENSG00000013441","protein_coding","chr2:200853009-200864744","14","0.18","no","yes","no","2","-","no","no","no","-1","no","no","-","-","-","ENSMUSG00000026034","chr1:58410189-58424066","Clk1","-1","no","gene with protein product","1195"
"586","PYGL","PYGL","glycogen phosphorylase L","protein-coding gene","ENSG00000100504","protein_coding","chr14:50857891-50944483","14","0.18","no","yes","no","1","-","no","no","no","5","no","yes","P06737","2","0.35","ENSMUSG00000021069","chr12:70190811-70231488","Pygl","-2","no","gene with protein product","5836"
"587","CHST11","CHST11","carbohydrate sulfotransferase 11","protein-coding gene","ENSG00000171310","protein_coding","chr12:104455295-104762014","14","0.18","no","yes","no","3","G1/S","no","no","no","3","no","yes","-","-","-","ENSMUSG00000034612","chr10:82985498-83195900","Chst11","5","no","gene with protein product","50515"
"588","NME1","NME1","NME/NM23 nucleoside diphosphate kinase 1","protein-coding gene","ENSG00000239672","protein_coding","chr17:51153559-51162428","14","0.17","yes","yes","no","2","-","no","no","no","3","no","yes","P15531","4","0.42","ENSMUSG00000037601","chr11:93956979-93968521","Nme1","1","no","gene with protein product","4830"
"589","TKFC","TKFC","triokinase and FMN cyclase","protein-coding gene","ENSG00000149476","protein_coding","chr11:61333220-61353295","14","0.16","yes","no","no","2","-","no","no","no","-2","no","no","Q3LXA3","3","0.35","ENSMUSG00000034371","chr19:10587791-10605654","Tkfc","4","no","gene with protein product","26007"
"590","CITED2","CITED2","Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2","protein-coding gene","ENSG00000164442","protein_coding","chr6:139371807-139374648","14","0.16","no","yes","no","2","-","no","no","no","-7","no","yes","-","-","-","ENSMUSG00000039910","chr10:17723218-17725674","Cited2","-1","no","gene with protein product","10370"
"591","PTPN1","PTPN1","protein tyrosine phosphatase non-receptor type 1","protein-coding gene","ENSG00000196396","protein_coding","chr20:50510321-50585241","14","0.16","no","yes","no","3","G2/M","no","no","no","6","no","yes","P18031","0","0.17","ENSMUSG00000027540","chr2:167932057-167979385","Ptpn1","3","no","gene with protein product","5770"
"592","SPG7","SPG7","SPG7 matrix AAA peptidase subunit, paraplegin","protein-coding gene","ENSG00000197912","protein_coding","chr16:89490719-89557766","14","0.16","no","yes","no","2","-","no","no","no","-5","no","yes","Q9UQ90","1","0.07","ENSMUSG00000000738","chr8:123062942-123097760","Spg7","0","no","gene with protein product","6687"
"593","RPS4X","RPS4X","ribosomal protein S4 X-linked","protein-coding gene","ENSG00000198034","protein_coding","chrX:72255679-72277248","14","0.15","yes","yes","no","2","-","no","no","no","-2","no","no","P62701","1","-0.04","ENSMUSG00000031320","chrX:102184941-102189394","Rps4x","-1","no","gene with protein product","6191"
"594","DGAT1","DGAT1","diacylglycerol O-acyltransferase 1","protein-coding gene","ENSG00000185000","protein_coding","chr8:144314584-144326910","14","0.14","yes","yes","no","2","-","no","no","no","-6","no","yes","O75907","1","0.22","ENSMUSG00000022555","chr15:76502015-76511953","Dgat1","1","no","gene with protein product","8694"
"595","IVL","IVL","involucrin","protein-coding gene","ENSG00000163207","protein_coding","chr1:152908546-152911886","13","1.56","no","yes","no","1","-","no","no","no","5","no","yes","-","-","-","-","-","-","-","-","gene with protein product","3713"
"596","LINC01778","LINC01778","long intergenic non-protein coding RNA 1778","non-coding RNA","ENSG00000223382","lncRNA","chr1:30824217-30834864","13","1.41","yes","no","no","0","-","no","no","no","-","-","-","-","-","-","-","-","-","-","-","RNA, long non-coding","105378622"
"597","CHRNA3","CHRNA3","cholinergic receptor nicotinic alpha 3 subunit","protein-coding gene","ENSG00000080644","protein_coding","chr15:78593052-78621295","13","0.84","yes","no","no","1","-","no","no","no","3","no","no","-","-","-","ENSMUSG00000032303","chr9:55010111-55026562","Chrna3","3","no","gene with protein product","1136"
"598","KCNQ3","KCNQ3","potassium voltage-gated channel subfamily Q member 3","protein-coding gene","ENSG00000184156","protein_coding","chr8:132120859-132481095","13","0.39","yes","yes","no","1","-","no","no","no","2","no","no","-","-","-","ENSMUSG00000056258","chr15:65986387-66286642","Kcnq3","1","no","gene with protein product","3786"
"599","PAG1","PAG1","phosphoprotein membrane anchor with glycosphingolipid microdomains 1","protein-coding gene","ENSG00000076641","protein_coding","chr8:80967810-81112068","13","0.28","no","yes","no","2","-","no","no","no","2","no","no","-","-","-","ENSMUSG00000027508","chr3:9687479-9833679","Pag1","-1","no","gene with protein product","55824"
"600","ANKEF1","ANKEF1","ankyrin repeat and EF-hand domain containing 1","protein-coding gene","ENSG00000132623","protein_coding","chr20:9986126-10058303","13","0.28","no","yes","no","3","G1/S","no","no","no","2","no","no","-","-","-","ENSMUSG00000074771","chr2:136501910-136562091","Ankef1","0","no","gene with protein product","63926"
"601","RIN2","RIN2","Ras and Rab interactor 2","protein-coding gene","ENSG00000132669","protein_coding","chr20:19757606-20002459","13","0.28","yes","no","no","3","G2/M","no","no","no","7","no","yes","Q8WYP3","1","0.26","ENSMUSG00000001768","chr2:145675215-145887616","Rin2","5","yes","gene with protein product","54453"
"602","MMP2","MMP2","matrix metallopeptidase 2","protein-coding gene","ENSG00000087245","protein_coding","chr16:55389700-55506691","13","0.27","yes","no","no","1","-","no","no","no","-3","no","no","P08253","1","0.85","ENSMUSG00000031740","chr8:92827291-92853420","Mmp2","4","no","gene with protein product","4313"
"603","ARHGAP42","ARHGAP42","Rho GTPase activating protein 42","protein-coding gene","ENSG00000165895","protein_coding","chr11:100687288-100993941","13","0.26","yes","no","no","2","-","no","no","no","-2","no","no","-","-","-","ENSMUSG00000050730","chr9:8994329-9239101","Arhgap42","-7","no","gene with protein product","143872"
"604","AHNAK","AHNAK","AHNAK nucleoprotein","protein-coding gene","ENSG00000124942","protein_coding","chr11:62433542-62556235","13","0.25","yes","yes","no","2","-","no","no","no","7","no","yes","Q09666","1","0.23","ENSMUSG00000069833","chr19:8989284-9076914","Ahnak","0","no","gene with protein product","79026"
"605","NPNT","NPNT","nephronectin","protein-coding gene","ENSG00000168743","protein_coding","chr4:105894775-106004027","13","0.24","yes","no","no","1","-","no","no","no","-3","no","yes","-","-","-","ENSMUSG00000040998","chr3:132881745-132950291","Npnt","6","no","gene with protein product","255743"
"606","ZDBF2","ZDBF2","zinc finger DBF-type containing 2","protein-coding gene","ENSG00000204186","protein_coding","chr2:206274663-206314427","13","0.22","yes","no","no","1","-","no","no","no","-1","no","no","-","-","-","ENSMUSG00000027520","chr1:63273265-63314576","Zdbf2","1","no","gene with protein product","57683"
"607","VAMP2","VAMP2","vesicle associated membrane protein 2","protein-coding gene","ENSG00000220205","protein_coding","chr17:8159149-8163546","13","0.22","no","yes","no","1","-","no","no","no","1","no","no","P63027","1","-0.04","ENSMUSG00000020894","chr11:69088490-69092384","Vamp2","4","no","gene with protein product","6844"
"608","MT-ATP8","MT-ATP8","mitochondrially encoded ATP synthase membrane subunit 8","protein-coding gene","ENSG00000228253","protein_coding","chrM:8366-8572","13","0.21","yes","no","no","2","-","no","no","no","-3","no","yes","P03928","0","0.00","-","-","-","-","-","gene with protein product","4509"
"609","KCNAB2","KCNAB2","potassium voltage-gated channel subfamily A regulatory beta subunit 2","protein-coding gene","ENSG00000069424","protein_coding","chr1:5990927-6101193","13","0.2","yes","no","no","1","-","no","no","no","-3","no","no","Q13303","0","-0.14","ENSMUSG00000028931","chr4:152390742-152477910","Kcnab2","0","no","gene with protein product","8514"
"610","CBFA2T2","CBFA2T2","CBFA2/RUNX1 partner transcriptional co-repressor 2","protein-coding gene","ENSG00000078699","protein_coding","chr20:33490075-33650036","13","0.2","no","yes","no","1","-","no","no","no","-3","no","yes","-","-","-","ENSMUSG00000038533","chr2:154436481-154539356","Cbfa2t2","0","no","gene with protein product","9139"
"611","BCAS4","BCAS4","breast carcinoma amplified sequence 4","protein-coding gene","ENSG00000124243","protein_coding","chr20:50794894-50882676","13","0.19","no","yes","no","1","-","no","no","no","-3","no","yes","-","-","-","-","-","-","-","-","gene with protein product","55653"
"612","SPECC1","SPECC1","sperm antigen with calponin homology and coiled-coil domains 1","protein-coding gene","ENSG00000128487","protein_coding","chr17:20008865-20319026","13","0.19","yes","yes","no","1","-","no","no","no","-1","no","no","Q5M775","1","0.10","ENSMUSG00000042331","chr11:61956763-62223013","Specc1","-4","no","gene with protein product","92521"
"613","CRIM1","CRIM1","cysteine rich transmembrane BMP regulator 1","protein-coding gene","ENSG00000150938","protein_coding","chr2:36355778-36551135","13","0.18","yes","no","no","1","-","no","no","no","2","no","no","Q9NZV1","-1","-0.63","ENSMUSG00000024074","chr17:78200248-78376592","Crim1","1","no","gene with protein product","51232"
"614","GATC","GATC","glutamyl-tRNA amidotransferase subunit C","protein-coding gene","ENSG00000257218","protein_coding","chr12:120446444-120463749","13","0.17","yes","no","no","2","-","no","no","no","1","no","no","O43716","0","-0.04","-","-","-","-","-","gene with protein product","283459"
"615","PLTP","PLTP","phospholipid transfer protein","protein-coding gene","ENSG00000100979","protein_coding","chr20:45898621-45912155","13","0.16","yes","no","no","1","-","no","no","no","6","no","no","-","-","-","ENSMUSG00000017754","chr2:164839518-164857711","Pltp","12","yes","gene with protein product","5360"
"616","DDX59","DDX59","DEAD-box helicase 59","protein-coding gene","ENSG00000118197","protein_coding","chr1:200623896-200669907","13","0.16","yes","yes","no","2","-","no","no","no","-1","no","no","Q5T1V6","-2","-0.28","ENSMUSG00000026404","chr1:136415271-136440158","Ddx59","4","no","gene with protein product","83479"
"617","CEP120","CEP120","centrosomal protein 120","protein-coding gene","ENSG00000168944","protein_coding","chr5:123344890-123423592","13","0.15","yes","yes","no","2","-","no","no","no","1","no","no","-","-","-","ENSMUSG00000048799","chr18:53681723-53744608","Cep120","-1","no","gene with protein product","153241"
"618","AAK1","AAK1","AP2 associated kinase 1","protein-coding gene","ENSG00000115977","protein_coding","chr2:69457997-69674349","13","0.14","no","yes","no","3","G2/M","no","no","no","2","no","no","Q2M2I8","1","0.08","ENSMUSG00000057230","chr6:86849517-87003223","Aak1","-3","no","gene with protein product","22848"
"619","PARP14","PARP14","poly(ADP-ribose) polymerase family member 14","protein-coding gene","ENSG00000173193","protein_coding","chr3:122680839-122730840","13","0.12","no","yes","no","3","G1/S","no","no","no","-2","no","no","Q460N5","0","0.07","ENSMUSG00000034422","chr16:35832874-35871544","Parp14","-2","no","gene with protein product","54625"
"620","MPRIP","MPRIP","myosin phosphatase Rho interacting protein","protein-coding gene","ENSG00000133030","protein_coding","chr17:17042457-17217679","13","0.11","no","yes","no","1","-","no","no","no","2","no","no","Q6WCQ1","2","0.35","ENSMUSG00000005417","chr11:59661305-59780860","Mprip","1","no","gene with protein product","23164"
"621","EIF3F","EIF3F","eukaryotic translation initiation factor 3 subunit F","protein-coding gene","ENSG00000175390","protein_coding","chr11:7970251-8001862","13","0.1","yes","yes","no","2","-","no","no","no","-3","no","no","O00303","0","-0.08","ENSMUSG00000031029","chr7:108934417-108942951","Eif3f","0","no","gene with protein product","8665"
"622","NARF","NARF","nuclear prelamin A recognition factor","protein-coding gene","ENSG00000141562","protein_coding","chr17:82458180-82490537","13","0.05","no","yes","no","2","-","no","no","no","-3","no","yes","Q9UHQ1","-2","-0.40","ENSMUSG00000000056","chr11:121237253-121255856","Narf","-2","no","gene with protein product","26502"
"623","AC103760.1","WWP1-AS1","WWP1 antisense RNA 1","non-coding RNA","ENSG00000254231","lncRNA","chr8:86333274-86343429","12","0.91","yes","no","no","0","-","no","no","no","-","-","-","-","-","-","-","-","-","-","-","RNA, long non-coding","105375624"
"624","PLPP4","PLPP4","phospholipid phosphatase 4","protein-coding gene","ENSG00000203805","protein_coding","chr10:120457227-120592065","12","0.65","yes","no","no","0","-","no","no","no","-2","no","no","-","-","-","ENSMUSG00000070366","chr7:129257031-129391412","Plpp4","0","no","gene with protein product","196051"
"625","TMEM9B-AS1","TMEM9B-AS1","TMEM9B antisense RNA 1","non-coding RNA","ENSG00000254860","lncRNA","chr11:8964510-8977527","12","0.54","no","yes","no","1","-","no","no","no","-1","no","no","-","-","-","-","-","-","-","-","RNA, long non-coding","493900"
"626","SRRM2-AS1","SRRM2-AS1","SRRM2 antisense RNA 1","non-coding RNA","ENSG00000205913","lncRNA","chr16:2737076-2752600","12","0.51","yes","no","no","1","-","no","no","no","0","no","no","-","-","-","-","-","-","-","-","RNA, long non-coding","100128788"
"627","MTND5P11","MTND5P11","MT-ND5 pseudogene 11","pseudogene","ENSG00000248923","processed_pseudogene","chr5:134924648-134926459","12","0.46","yes","no","no","0","-","no","no","no","-","-","-","-","-","-","-","-","-","-","-","pseudogene","100506169"
"628","NRP2","NRP2","neuropilin 2","protein-coding gene","ENSG00000118257","protein_coding","chr2:205681990-205798133","12","0.45","no","yes","no","1","-","no","no","no","3","no","yes","O60462","0","0.19","ENSMUSG00000025969","chr1:62703285-62818695","Nrp2","-7","no","gene with protein product","8828"
"629","ACAD11","ACAD11","acyl-CoA dehydrogenase family member 11","protein-coding gene","ENSG00000240303","protein_coding","chr3:132558138-132660082","12","0.43","yes","no","no","1","-","no","no","no","0","no","no","Q709F0","0","0.17","ENSMUSG00000090150","chr9:104063377-104127725","Acad11","14","yes","gene with protein product","84129"
"630","KCNN3","KCNN3","potassium calcium-activated channel subfamily N member 3","protein-coding gene","ENSG00000143603","protein_coding","chr1:154697455-154870281","12","0.42","yes","yes","no","1","-","no","no","no","1","no","no","-","-","-","ENSMUSG00000000794","chr3:89520164-89675132","Kcnn3","2","no","gene with protein product","3782"
"631","PPP1R3C","PPP1R3C","protein phosphatase 1 regulatory subunit 3C","protein-coding gene","ENSG00000119938","protein_coding","chr10:91628442-91633071","12","0.39","yes","yes","no","3","G1/S","no","no","no","-1","no","no","-","-","-","ENSMUSG00000067279","chr19:36731731-36736653","Ppp1r3c","0","no","gene with protein product","5507"
"632","DGKI","DGKI","diacylglycerol kinase iota","protein-coding gene","ENSG00000157680","protein_coding","chr7:137381037-137847092","12","0.35","no","yes","no","1","-","no","no","no","-1","no","no","-","-","-","ENSMUSG00000038665","chr6:36846022-37300184","Dgki","2","no","gene with protein product","9162"
"633","ZSCAN20","ZSCAN20","zinc finger and SCAN domain containing 20","protein-coding gene","ENSG00000121903","protein_coding","chr1:33472645-33496507","12","0.31","yes","yes","no","1","-","no","no","no","-1","no","no","-","-","-","ENSMUSG00000061894","chr4:128583539-128610098","Zscan20","0","no","gene with protein product","7579"
"634","MTCO1P12","MTCO1P12","MT-CO1 pseudogene 12","pseudogene","ENSG00000237973","unprocessed_pseudogene","chr1:631074-632616","12","0.31","yes","no","no","1","-","no","no","no","-","-","-","-","-","-","-","-","-","-","-","pseudogene","107075141"
"635","MRPL39","MRPL39","mitochondrial ribosomal protein L39","protein-coding gene","ENSG00000154719","protein_coding","chr21:25585656-25607517","12","0.3","yes","no","no","2","-","no","no","no","4","no","no","Q9NYK5","0","0.07","ENSMUSG00000022889","chr16:84717576-84735742","Mrpl39","5","yes","gene with protein product","54148"
"636","COL9A3","COL9A3","collagen type IX alpha 3 chain","protein-coding gene","ENSG00000092758","protein_coding","chr20:62816244-62841159","12","0.28","yes","no","no","3","G1/S","no","no","no","-2","no","no","-","-","-","-","-","-","-","-","gene with protein product","1299"
"637","ADGRB1","ADGRB1","adhesion G protein-coupled receptor B1","protein-coding gene","ENSG00000181790","protein_coding","chr8:142449430-142545009","12","0.26","yes","no","no","2","-","no","no","no","0","no","no","-","-","-","ENSMUSG00000034730","chr15:74516195-74589465","Adgrb1","3","no","gene with protein product","575"
"638","OBSCN","OBSCN","obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF","protein-coding gene","ENSG00000154358","protein_coding","chr1:228208044-228378876","12","0.25","yes","no","no","1","-","no","no","no","0","no","no","-","-","-","ENSMUSG00000061462","chr11:58994256-59139170","Obscn","3","no","gene with protein product","84033"
"639","WDR1","WDR1","WD repeat domain 1","protein-coding gene","ENSG00000071127","protein_coding","chr4:10074339-10116949","12","0.22","yes","yes","no","3","G2/M","no","no","no","-1","no","no","O75083","3","0.29","ENSMUSG00000005103","chr5:38526813-38563221","Wdr1","0","no","gene with protein product","9948"
"640","MYO1E","MYO1E","myosin IE","protein-coding gene","ENSG00000157483","protein_coding","chr15:59132434-59372871","12","0.22","no","yes","no","3","G1/S","no","no","no","-2","no","no","Q12965","2","0.13","ENSMUSG00000032220","chr9:70207350-70399766","Myo1e","1","no","gene with protein product","4643"
"641","STAT6","STAT6","signal transducer and activator of transcription 6","protein-coding gene","ENSG00000166888","protein_coding","chr12:57095408-57132139","12","0.22","yes","yes","no","1","-","no","no","no","0","no","no","P42226","4","0.32","ENSMUSG00000002147","chr10:127642986-127660957","Stat6","-1","no","gene with protein product","6778"
"642","NHS","NHS","NHS actin remodeling regulator","protein-coding gene","ENSG00000188158","protein_coding","chrX:17375200-17735994","12","0.22","yes","yes","no","2","-","no","no","no","0","no","no","Q6T4R5","1","0.16","ENSMUSG00000059493","chrX:161833296-162159730","Nhs","0","no","gene with protein product","4810"
"643","TNRC18","TNRC18","trinucleotide repeat containing 18","protein-coding gene","ENSG00000182095","protein_coding","chr7:5306790-5425414","12","0.19","no","yes","no","1","-","no","no","no","1","no","no","O15417","0","-0.40","ENSMUSG00000039477","chr5:142724661-142817662","Tnrc18","-2","no","gene with protein product","84629"
"644","TET2","TET2","tet methylcytosine dioxygenase 2","protein-coding gene","ENSG00000168769","protein_coding","chr4:105145875-105279816","12","0.18","yes","yes","no","2","-","no","no","no","1","no","no","-","-","-","ENSMUSG00000040943","chr3:133463679-133545139","Tet2","-1","no","gene with protein product","54790"
"645","PTPN14","PTPN14","protein tyrosine phosphatase non-receptor type 14","protein-coding gene","ENSG00000152104","protein_coding","chr1:214348700-214552449","12","0.16","no","yes","no","1","-","no","no","no","0","no","no","Q15678","0","-0.07","ENSMUSG00000026604","chr1:189728268-189876695","Ptpn14","14","yes","gene with protein product","5784"
"646","SLC9A8","SLC9A8","solute carrier family 9 member A8","protein-coding gene","ENSG00000197818","protein_coding","chr20:49812713-49892242","12","0.16","no","yes","no","1","-","no","no","no","-5","no","yes","-","-","-","ENSMUSG00000039463","chr2:167421712-167477000","Slc9a8","1","no","gene with protein product","23315"
"647","RNF208","RNF208","ring finger protein 208","protein-coding gene","ENSG00000212864","protein_coding","chr9:137220247-137221581","12","0.16","no","yes","no","0","-","no","no","no","0","no","no","-","-","-","ENSMUSG00000044628","chr2:25242929-25244262","Rnf208","1","no","gene with protein product","727800"
"648","SIRT6","SIRT6","sirtuin 6","protein-coding gene","ENSG00000077463","protein_coding","chr19:4174109-4182566","12","0.15","yes","yes","no","1","-","no","no","no","0","no","no","Q8N6T7","0","0.00","ENSMUSG00000034748","chr10:81621785-81627797","Sirt6","0","no","gene with protein product","51548"
